device,dev_type,parameter,published,fd_alone,surrogate_raw,surrogate_paired_fd,surrogate_fd,fd_alone_percent_of_published,surrogate_raw_percent_of_published,surrogate_paired_fd_percent_of_published,surrogate_fd_percent_of_published,surrogate_paired_polish_delta_percent_of_published,surrogate_production_delta_percent_of_published
nmos_L20_W0p64,nmos,u0,0.29023,0.29023,0.2814058989622535,0.2754061539348596,0.2754061539348596,0.0,-3.0403821237454784,-5.1076201857631425,-5.1076201857631425,-2.067238062017664,-2.067238062017664
nmos_L20_W0p64,nmos,nfactor,39.5731,39.5731,35.68113759469963,35.64908761147511,35.64908761147511,0.0,-9.834868648906376,-9.915857965448465,-9.915857965448465,-0.08098931654208939,-0.08098931654208939
nmos_L20_W0p64,nmos,vsat,23603.9,23603.9,25154.87465834597,25662.200132474958,25662.200132474958,0.0,6.570840659153644,8.72016968583563,8.72016968583563,2.1493290266819858,2.1493290266819858
nmos_L20_W0p64,nmos,delta,0.149998,0.149998,0.13544535722053108,0.1352813620869018,0.1352813620869018,0.0,-9.70189121152876,-9.811222758368903,-9.811222758368903,-0.10933154684014082,-0.10933154684014082
nmos_L20_W0p64,nmos,rdsw,3726.62,3726.62,3358.7582072334662,3357.908927888034,3357.908927888034,0.0,-9.871191395058622,-9.893980929420378,-9.893980929420378,-0.022789534361754717,-0.022789534361754717
nmos_L20_W0p64,nmos,eta0,0.08,0.08,0.0762871828762532,0.0762871828762532,0.0762871828762532,0.0,-4.641021404683497,-4.641021404683497,-4.641021404683497,0.0,0.0
nmos_L100_W100,nmos,vth0,0.525348,0.525348,0.5296918623838898,0.528425927340443,0.5280882233690306,0.0,0.8268542725754603,0.585883517295771,0.521601561066297,-0.24097075527968925,-0.30525271150916333
nmos_L100_W100,nmos,u0,0.27473,0.27473,0.2624751793599382,0.25880330033215565,0.2576111696919305,0.0,-4.460677989321073,-5.797218966929103,-6.231147056407924,-1.336540977608031,-1.7704690670868517
nmos_L100_W100,nmos,nfactor,4.74778,4.74778,4.601892042482553,4.603989909287571,5.008915917942021,0.0,-3.0727615331259406,-3.0285752649117854,5.500168877707506,0.04418626821415484,8.572930410833447
nmos_L100_W100,nmos,vsat,6537.88,6537.88,6274.678555268547,6453.507848695108,6507.648457987837,0.0,-4.025791919268221,-1.2905123878824973,-0.4624058871096306,2.735279531385724,3.563386032158591
nmos_L100_W100,nmos,delta,0.0999998,0.0999998,0.09209032568853927,0.09157673465619362,0.09190463604214592,0.0,-7.909490130440992,-8.42308218997076,-8.095180148214373,-0.5135920595297668,-0.18569001777337996
nmos_L100_W100,nmos,rdsw,15007.8,15007.8,13848.829736453692,13818.861587942332,13765.097902575619,0.0,-7.722452748212978,-7.922136569368375,-8.280374854571493,-0.19968382115539712,-0.5579221063585156
nmos_L100_W100,nmos,eta0,0.08,0.08,0.07758492421252082,0.07758492421252082,0.0822582589761144,0.0,-3.0188447343489773,-3.0188447343489773,2.822823720142996,0.0,5.841668454491973
pmos_L0p35_W0p55,pmos,vth0,-0.885267,-0.885267,-0.9460021989685103,-0.9254117505288295,-0.9254093799757889,0.0,-6.860664519123644,-4.534761888653874,-4.534494110340592,2.325902630469771,2.3261704087830535
pmos_L0p35_W0p55,pmos,u0,0.00310198,0.00310198,0.002791990049879541,0.002792042494618554,0.002792047070005972,0.0,-9.993292997390666,-9.991602311473512,-9.991454812539981,0.0016906859171538639,0.0018381848506843759
pmos_L0p35_W0p55,pmos,nfactor,73.0765,73.0765,66.5567364800794,65.77470656781931,65.77436010408336,0.0,-8.921833311557892,-9.991985702901326,-9.99245981391643,-1.0701523913434356,-1.0706265023585382
pmos_L0p35_W0p55,pmos,vsat,-25858.8,-25858.8,-26068.655528055795,-25624.275646969996,-25123.744993393055,0.0,-0.811543954304901,0.9069421358686526,2.8425719933134737,1.7184860901735535,3.654115947618375
pmos_L0p35_W0p55,pmos,delta,0.127551,0.127551,0.1402975451511018,0.1402986554304125,0.140298723474582,0.0,9.993292997390688,9.99416345650956,9.994216803146976,0.0008704591188717133,0.0009238057562899641
pmos_L0p35_W0p55,pmos,rdsw,6.4293,6.4293,5.8636926539252405,5.865446525565864,5.890912656597327,0.0,-8.79733946269048,-8.770060106607804,-8.373965181321026,0.02727935608267731,0.42337428136945476
pmos_L0p35_W0p55,pmos,eta0,0.2,0.2,0.19406012847710502,0.1941506679380122,0.1949090175165439,0.0,-2.9699357614474953,-2.924666030993908,-2.545491241728051,0.045269730453587065,0.4244445197194441
pmos_L0p35_W1p6,pmos,vth0,-1.13595,-1.13595,-1.0804578668109663,-1.092239837116699,-1.0925773622034212,0.0,4.885085891899615,3.847894967498656,3.818181944326674,-1.0371909244009587,-1.0669039475729414
pmos_L0p35_W1p6,pmos,u0,0.0119114,0.0119114,0.010721369649937668,0.010721367699227626,0.01072105264117823,0.0,-9.990684135049895,-9.990700511882519,-9.993345524638334,-1.6376832626014705e-05,-0.0026613895884387926
pmos_L0p35_W1p6,pmos,nfactor,63.0509,63.0509,68.30875532982203,68.32554043939834,68.21208497642566,0.0,8.339064676034816,8.365686198608332,8.185743544383442,0.026621522573514543,-0.15332113165137476
pmos_L0p35_W1p6,pmos,vsat,1027500000.0,1027500000.0,1032274079.9884795,1032272087.4155278,1018691294.8259062,0.0,0.46463065581308954,0.4644367314382307,-0.8572949074543885,-0.00019392437485882835,-1.321925563267478
pmos_L0p35_W1p6,pmos,delta,-0.0153513,-0.0153513,-0.01567031490914353,-0.0156510796422965,-0.01481141446477692,0.0,-2.0780970285482594,-1.9527964556519577,3.516871764756599,0.12530057289630178,5.594968793304858
pmos_L0p35_W1p6,pmos,rdsw,0.0053999,0.0053999,0.005600874268019437,0.005600874952261721,0.0058650836743177216,0.0,3.721814626556732,3.7218272979448015,8.614672018328516,1.2671388069409379e-05,4.892857391771784
pmos_L0p35_W1p6,pmos,eta0,0.2,0.2,0.20762211534309896,0.20762227409484446,0.2134804353218443,0.0,3.811057671549475,3.811137047422225,6.740217660922143,7.937587274964297e-05,2.9291599893726676
pmos_L0p35_W5,pmos,vth0,-1.22735,-1.22735,-1.2500969162086577,-1.2380247028417528,-1.238008997935734,0.0,-1.8533357403069837,-0.8697358407750739,-0.8684562623321876,0.9835998995319097,0.984879477974796
pmos_L0p35_W5,pmos,u0,0.02987,0.02987,0.02688916526176464,0.026889166255746333,0.026891322978167674,0.0,-9.979359686090927,-9.97935635839862,-9.972135995421247,3.3276923069749423e-06,0.007223690669679535
pmos_L0p35_W5,pmos,nfactor,20.3585,20.3585,22.356002540359537,22.356003521728688,22.376473425501686,0.0,9.811639071442087,9.811643891881468,9.912191102004995,4.820439380485362e-06,0.10055203056290661
pmos_L0p35_W5,pmos,vsat,3091310000.0,3091310000.0,2805776102.664735,2805776108.006251,2789000649.9232416,0.0,-9.236663334808387,-9.236663162017047,-9.779328183739528,1.7279134146733322e-07,-0.5426648489311401
pmos_L0p35_W5,pmos,delta,0.0592359,0.0592359,0.053484098250344454,0.0534840672284366,0.05365304988563712,0.0,-9.709993010413529,-9.710045380526678,-9.424774696362983,-5.237011314934581e-05,0.28521831405054404
pmos_L0p35_W5,pmos,rdsw,2991.82,2991.82,3289.194321875023,3289.1935122532245,3287.780869580272,0.0,9.939579315434177,9.939552254254078,9.892335420589196,-2.7061180099504934e-05,-0.04724389484498051
pmos_L0p35_W5,pmos,eta0,0.2,0.2,0.18271274790756775,0.1827127489188657,0.1820379773696296,0.0,-8.643626046216129,-8.643625540567163,-8.981011315185206,5.056489671417808e-07,-0.3373852689690787
pmos_L0p5_W0p42,pmos,vth0,-1.08635,-1.08635,-1.0646778794052987,-1.0660805050456752,-1.0660805050456752,0.0,1.9949482758504395,1.865834671544597,1.865834671544597,-0.12911360430584254,-0.12911360430584254
pmos_L0p5_W0p42,pmos,u0,0.0481511,0.0481511,0.04336923692423165,0.04336918316168475,0.04336918316168475,0.0,-9.930952928943169,-9.931064582772262,-9.931064582772262,-0.00011165382909317149,-0.00011165382909317149
pmos_L0p5_W0p42,pmos,nfactor,2.5373,2.5373,2.670217085212374,2.6707375927148442,2.6707375927148442,0.0,5.23852462114744,5.259038848967174,5.259038848967174,0.020514227819734537,0.020514227819734537
pmos_L0p5_W0p42,pmos,vsat,-4914.19,-4914.19,-5128.849720358369,-5128.856354431362,-5128.856354431362,0.0,-4.3681607825169495,-4.368295780817641,-4.368295780817641,-0.0001349983006906646,-0.0001349983006906646
pmos_L0p5_W0p42,pmos,delta,0.127551,0.127551,0.1402941465861611,0.140294148463405,0.140294148463405,0.0,9.990628522050867,9.99062999381031,9.99062999381031,1.4717594437639748e-06,1.4717594437639748e-06
pmos_L0p5_W0p42,pmos,rdsw,3574.9,3574.9,3914.1300970516368,3914.470995187119,3914.470995187119,0.0,9.489219196386939,9.498755075306136,9.498755075306136,0.00953587891919629,0.00953587891919629
pmos_L0p5_W0p42,pmos,eta0,0.2,0.2,0.18230343250565245,0.18230343251050987,0.18230343251050987,0.0,-8.84828374717378,-8.848283744745068,-8.848283744745068,2.4287100108821846e-09,2.4287100108821846e-09
pmos_L0p5_W0p64,pmos,vth0,-1.08518,-1.08518,-1.0608671586876004,-1.0592970469380916,-1.0592970469380916,0.0,2.240443181075917,2.3851299380663544,2.3851299380663544,0.14468675699043743,0.14468675699043743
pmos_L0p5_W0p64,pmos,u0,0.0615987,0.0615987,0.055509527537201724,0.055508951042138516,0.055508951042138516,0.0,-9.885228848657968,-9.886164737017962,-9.886164737017962,-0.0009358883599943473,-0.0009358883599943473
pmos_L0p5_W0p64,pmos,nfactor,70.6575,70.6575,74.54409785978076,71.46972456426246,71.46972456426246,0.0,5.500616155087236,1.149523496107936,1.149523496107936,-4.351092658979301,-4.351092658979301
pmos_L0p5_W0p64,pmos,vsat,1490390000.0,1490390000.0,1553663073.1054232,1553666448.2477212,1553666448.2477212,0.0,4.245403760453519,4.245630220795979,4.245630220795979,0.00022646034245956895,0.00022646034245956895
pmos_L0p5_W0p64,pmos,delta,0.0360978,0.0360978,0.03959113306124615,0.03959177210791462,0.03959177210791462,0.0,9.677412643557636,9.679182963822226,9.679182963822226,0.0017703202645905451,0.0017703202645905451
pmos_L0p5_W0p64,pmos,rdsw,7270.5,7270.5,7996.691045924064,7996.68920156637,7996.68920156637,0.0,9.98818576334591,9.988160395658754,9.988160395658754,-2.5367687155055827e-05,-2.5367687155055827e-05
pmos_L0p5_W0p64,pmos,eta0,0.2,0.2,0.1808390906530317,0.1808390905632358,0.1808390905632358,0.0,-9.580454673484159,-9.580454718382105,-9.580454718382105,-4.489794647177803e-08,-4.489794647177803e-08
